[19:05:23] [ServerMain/WARN]: Failed to add PDH Counter: \Paging File(_Total)\% Usage, Error code: 0xC0000BB8
[19:05:23] [ServerMain/WARN]: Failed to add counter for PDH counter: \Paging File(_Total)\% Usage
[19:05:23] [ServerMain/WARN]: Disabling further attempts to query Paging File.
[19:05:26] [ServerMain/WARN]: COM exception: Invalid Query: SELECT PERCENTUSAGE FROM Win32_PerfRawData_PerfOS_PagingFile
[19:05:38] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[19:05:41] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[19:05:41] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[19:05:41] [ServerMain/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[19:05:41] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[19:05:41] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[19:05:41] [ServerMain/INFO]: Reloading ResourceManager: Default
[19:05:44] [Worker-Main-4/INFO]: Loaded 7 recipes
[19:05:47] [Worker-Main-4/INFO]: Loaded 1141 advancements
[19:05:53] [Server thread/INFO]: Starting minecraft server version 1.18.1
[19:05:53] [Server thread/INFO]: Loading properties
[19:05:53] [Server thread/INFO]: Default game type: SURVIVAL
[19:05:53] [Server thread/INFO]: Generating keypair
[19:05:54] [Server thread/INFO]: Starting Minecraft server on *:25565
[19:05:54] [Server thread/INFO]: Using default channel type
[19:05:54] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[19:05:54] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[19:05:54] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[19:05:54] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[19:05:54] [Server thread/INFO]: Preparing level "world"
[19:05:57] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[19:06:01] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[19:06:01] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[19:06:01] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[19:06:02] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[19:06:02] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[19:06:02] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[19:06:02] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[19:06:02] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[19:06:02] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[19:06:03] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[19:06:03] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[19:06:03] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[19:06:03] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[19:06:03] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[19:06:04] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[19:06:04] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[19:06:05] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[19:06:06] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[19:06:06] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[19:06:07] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[19:06:07] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[19:06:07] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[19:06:08] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[19:06:08] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[19:06:09] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[19:06:09] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[19:06:10] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[19:06:10] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[19:06:11] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[19:06:11] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[19:06:12] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[19:06:12] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[19:06:13] [Worker-Main-4/INFO]: Preparing spawn area: 0%
